"Call #",,"L.P.","AUTHOR","TITLE","D/P","Last Checked"
,,,,,,
"004.6 GAT",,,"Gates, Bill","The Road Ahead",,20-Jun
"031.02 FEL REF",,,"Feldman, David","A World of Imponderables",,
"070.4 BRO",,,"Brokaw, Tom","A Lucky Life Interrupted:Memoir",8/16,1/12/2017
"070.92 ORE",,,"O'Reilly, Bill","A Bold Fresh Piece of Humanity",,2/24/2009
"128.5 TER",,,"Terkel, Studs","Will the Circle Be Unbroken",,1/6/2006
"155.2 JOH",,,"Johnson, Spencer","Who Moved My Cheese?",,12/31/2007
"155.9 KOD",,,"Kodanaz, Rachel","Living With Loss, One Day at a Time",2/14,8/16/2018
"155.9 SCH ",,,"Schultz, Clarice","Growth Through Loss & Change Vol. 1",7/10,12/15/2010
"155.9 SCH ",,,"Schultz, Clarice","Growth Through Change & Loss Vol. 2",7/10,8/23/2016
"158.1 PAU",,,"Pausch, Randy","The Last Lecture",,7/19/2010
"158.1 P",,,"Peck, M. Scott, M.D.","The Road Last Traveled",,7/9/2007
"158.1 RYC",,,"Ryce, Michael","Why Is This Happening to Me…Again",8/16,"None"
"179.9 NOR",,,"Norville, Deborah","Thank You Power",2/11,10/22/2012
"179.9 BRO",,,"Brooks, David","The Road to Character",7/16,2/15/2017
"200 BOW",,,"Bowker, John W.","God, A Brief History",,12/30/2021
"200.1 HAM",,,"Hamer, Dean","The God Gene: How Faith is Hardwired into Our Genes",,4/18/2005
"200.956 FEI",,,"Feiler, Bruce","Where God was Born",,12/1/2006
"208.18 VIN",,,"Viney, Katherine","Through It All",4/18,4/11/2018
"220 AM",,,,"New American Bible (Catholic)  ",,"None"
"220 del",,,"del Mastro, M.L.","All the Women of the Bible",,7/25/2018
"220 GID",,,,"Gideons New Testament - Psalms",1/21,"None"
"220 KJ",,,,"Scofield Reference Bible",,7/5/2009
"220 NE",,,,"New English Bible (with the Apocrypha)",,
"220 NEL  REF 3 VOL.",,,,"Holy Bible ",,
"220 NEW",,,,"New Revised Standard Version Reference Bible",8/16,3/20/2020
"220.1 GOM",,,"Gomes, Peter J.","The Good Book",,"None"
