"Book ID","Title","Sort Character","Primary Author","ISBN","Dewey Decimal"
216154377,"A Lucky Life Interrupted: A Memoir of Hope",3,"Brokaw, Tom","[9781400069699]","070.92"
216154379,"A Bold Fresh Piece of Humanity",3,"O'Reilly, Bill","[0767928822]","070.92"
216154380,"The Road Ahead (Book & CD)",5,"Gates, Bill","[0670772895]","004.67"
216162670,"Who Moved My Cheese",1,"Johnson, Spencer","[0399144463]",155.24
216650608,"Living with Loss: One Day at a Time",1,"Kodanaz, Rachel","[9781938486319]",155.937
216650623,"Will the Circle Be Unbroken",1,"Terkel, Studs","[1565846923]",128.5
216650886,"The Immortal Life of Henrietta Lacks",5,"Skloot, Rebecca","[1400052173]",616.02774092
216650915,"A Bold Fresh Piece of Humanity",3,"O'Reilly, Bill","[0767928822]","070.92"
216650982,"Who Moved My Cheese",1,"Johnson, Spencer","[0399144463]",155.24
216651014,"Living with Loss: One Day at a Time",1,"Kodanaz, Rachel","[9781938486319]",155.937
216651030,"Growth Through Loss & Change, Volume I: How to Be with the Dying Without Fear",1,"Bsn, Clarice A. Schultz Rn","[142692707X]",
216651051,"Growth through Loss & Change, Volume II: How to Grieve Without Undue Fear",1,"Schultz, RN Clarice A.","[142692853X]",
216651080,"The Last Lecture",5,"Pausch, Randy","[9781401323257]","004.092"
216651092,"Road Less Traveled (Flexibind Edition)",1,"Peck, M. Scott","[9780671673000]",158.1
216651110,"The Good Book: Reading the Bible with Mind and Heart",5,"Gomes, Peter J","[0380723239]",220.1
216651140,"Why Is This Happening To Me . . . AGAIN?! ...and What You Can Do About It!",1,"Ryce, Michael","[1886562296]",158.1
216651183,"Thank You Power: Making the Science of Gratitude Work for You",1,"Norville, Deborah","[078522193X]",179.9
216651199,"The Road to Character",5,"Brooks, David","[081299325X]",170.44
216651219,"God: A Brief History",1,"Bowker, John","[0789480506]",200
216651259,"Rediscovering God in America: Reflections on the Role of Faith in Our Nation's History and Future",1,"Gingrich, Newt","[1591454824]",200.9753
216651273,"The God Gene: How Faith is Hardwired into our Genes",5,"Hamer, Dean H.","[0385500580]",200.19
216651289,"The Gift of Years: Growing Older Gracefully",5,"Chittister, Joan","[1933346337]",200.84
216651299,"Where God Was Born: A Journey by Land to the Roots of Religion",1,"Feiler, Bruce","[0060574879]",200.956
216651318,"Through It All: Promises, Shattered Dreams and Restoration",1,"Viney, Katherine","[1943342059]",
216651381,"The New American Bible (Style No. 2403): Student Edition",5,"Confraternity of Christian Doctrine","[0529060892]",220
216651404,"NRSV Reference Bible with Apocrypha",1,,"[0310903041]",220
216651412,"All The Women Of The Bible",1,"Mastro, M. del","[0785818960]",220.92
216651472,"NRSV Reference Bible with Apocrypha",1,,"[0310903041]",220
216651634,"The New English Bible",5,,"[0685347133]","220.52/06"
216651658,"The Good Book: Reading the Bible with Mind and Heart",5,"Gomes, Peter J","[0380723239]",220.1
216697053,"The Communicator's Commentary: Genesis (COMMUNICATOR'S COMMENTARY OT)",5,"Briscoe, D. Stuart","[0849904064]",221.7
216697606,"Genesis",1,"Moyers, Bill D.","[0385483457]",222.1106
216697676,"All the People in the Bible: An A-Z Guide to the Saints, Scoundrels, and Other Characters in Scripture",1,"Losch, Richard R.","[0802824544]",220.9203
216697686,"The Mysterious Bible Codes",5,"Jeffery, Grant R.","[084991325X]",220.68
216697801,"Moses : A Life",1,"Kirsch, Jonathan","[0345412699]",222.1092
216697815,"Biblical Literacy: The Essential Bible Stories Everyone Needs to Know",1,"Beal, Timothy","[0061718629]",220.09
216697827,"The Lord Is My Shepherd: Healing Wisdom of the Twenty-third Psalm",5,"Kushner, Harold S.","[9781400040568]",223.206
216697917,"The Sisters of Sinai: How Two Lady Adventurers Discovered the Hidden Gospels",5,"Soskice, Janet","[1400041333]",920
216698001,"A Testament to Freedom: The Essential Writings of Dietrich Bonhoeffer",3,"Bonhoeffer, Dietrich","[0060608137]",230.044
216698050,"Strange Glory: A Life of Dietrich Bonhoeffer",1,"Marsh, Charles","[0307269817]",230.044092
216698083,"Amazing Grace: A Vocabulary of Faith",1,"Norris, Kathleen","[1573220787]",230.03
216698144,"Best Sermons 1",1,"Cox, James","[0060616113]",252
216698569,"The Meaning of Christ",5,"Johnson, Robert Clyde",,232
216698734,"Communicators Commentary Exodus (COMMUNICATOR'S COMMENTARY OT)",1,"Dunnam, Maxie D.","[0849904072]",221
